record_key,mouse_record,sex_group,version,annotator_a,annotator_b,n_frames_compared,accuracy,balanced_accuracy,macro_f1,cohen_kappa,mcc,ari,nmi
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator7,annotator8,24292,0.9403095669356166,0.9078719366354587,0.9111117148138006,0.8751783113192623,0.8752145490224439,0.8394045966548226,0.7116643618872295
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator1,annotator2,18646,0.9666416389574172,0.9686585975662424,0.9654196897693327,0.9493972984421105,0.9498769344759901,0.904787827044569,0.8636015322189403
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator1,annotator3,18646,0.9576852944331223,0.9560139875733936,0.956440221811686,0.9355612086771633,0.935668191716238,0.8789760335330905,0.8319384891176251
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator1,annotator4,18646,0.9553791697951303,0.9551677857026015,0.9531682268809986,0.9322339098414214,0.9326988956858813,0.8750998341628827,0.824047596460837
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator1,annotator5,18646,0.9641209910972863,0.9611540224807701,0.7218710524600513,0.9453175670218029,0.9454181568653846,0.898211729092458,0.8480749227769204
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator1,annotator6,18646,0.9522685830741178,0.957191046330575,0.9508686599665831,0.9278350765621075,0.929402474965191,0.8654911839834784,0.8265913721632028
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator1,annotator7,18646,0.9370910651077979,0.931926189100718,0.9336013955380613,0.9040474161923303,0.9041831877779894,0.8287604593593733,0.7741651288902508
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator1,annotator8,18646,0.9066823983696235,0.8980094876848281,0.9008745302073713,0.8573872429169099,0.8578636772821544,0.7553091451565973,0.6992927895342226
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator2,annotator3,18646,0.9511959669634238,0.9475494541055834,0.9500221635416158,0.9259568104798613,0.92682385287502,0.8603894220245825,0.8121265823596755
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator2,annotator4,18646,0.970771210983589,0.9681792310369408,0.9691736539036864,0.9557222656107915,0.9558255618749029,0.917836667225775,0.8716367400632539
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator2,annotator5,18646,0.9561300010726161,0.9503385968862522,0.7151842967250821,0.9333790168416544,0.9341107654757059,0.8798820301117555,0.840806699504222
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator2,annotator6,18646,0.9679824090957846,0.969288414849793,0.9668573773075239,0.9516709180357471,0.9520328321649083,0.9092673129880277,0.8677122531670731
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator2,annotator7,18646,0.950981443741285,0.9447152431542465,0.9483634320012767,0.925521659178974,0.9265243239384857,0.8655865553647389,0.8283045790386278
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator2,annotator8,18646,0.9094712002574279,0.8997134222636894,0.9037890399847583,0.8622473047156627,0.8639422814132048,0.765689390390938,0.7220118596412638
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator3,annotator4,18646,0.9500697200471951,0.9512427222407016,0.9484470888688842,0.9241694162277783,0.925145566683261,0.857835017278898,0.8080474383839059
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator3,annotator5,18646,0.9427222996889413,0.9403704628755367,0.7056221375333813,0.9126732326453615,0.9129660607267203,0.8387203853725773,0.7850043074045595
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator3,annotator6,18646,0.9464228252708355,0.9528654207993347,0.9456315087638195,0.9189958356771019,0.9210610155967095,0.846643406908862,0.8098800137428159
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator3,annotator7,18646,0.9378955271908184,0.9342594273693443,0.9352775381901367,0.9052303267125917,0.9054608560537539,0.8275697583406887,0.7730025563212134
Female_likely/Mouse061_20160526_18-38-49,Mouse061_20160526_18-38-49,Female_likely,v1,annotator3,annotator8,18646,0.9054488898423254,0.8986570130175732,0.9008535308492798,0.8554238831144757,0.8559236900685091,0.7474929226823792,0.6893627909787893
